nombre,dependencia
Ecuador,1
Perú,2
El Oro,1
Loja,1
Manabí,1
Lambayeque,2
Piura,2
Guayas,1
Esmeraldas,1
Los Ríos,1
Babahoyo,1
Santa Elena,1
Azuay,1
Ayabaca,2
Chulucanas,2
Lambayeque-Huancabamaba,2
Ferreñafe,2
Chiclayo-Chota,2
Cajamarca,2
La Libertad,2
Zamora-Chinchipe,1
Tumbes,2
Cañar,1
Napo,1
Pichincha,1
Santo Domingo de los Tsáchichilas,1
Napo,1
Santo Domingo de los Tsaíchilas,1
