Codigo especie,familia,Species,Name,Synonim,UICN,Endemismo,Migracion
UTPL_A0905,Picidae,Veniliornis nigriceps ,Bar-bellied Woodpecker,null,LC,null,null
UTPL_A0906,Semnornithidae,Semnornis ramphastinus,Toucan Barbet,null,NT,null,null
UTPL_A0907,Falconidae,Phalcoboenus carunculatus,Carunculated Caracara,null,LC,null,null
UTPL_A0908,Thamnophilidae,Gymnopithys leucaspis,White-cheeked Antbird,null,LC,null,null
UTPL_A0909,Thamnophilidae,Myrmeciza zeledoni,Zeledon's Antbird,null,null,null,null
UTPL_A0910,Thamnophilidae,Myrmotherula pacifica,Pacific Antwren,null,LC,null,null
UTPL_A0911,Rhinocryptidae,Myornis senilis ,Ash-colored Tapaculo,null,LC,null,null
UTPL_A0912,Rhinocryptidae,Scytalopus parkeri,Chusquea Tapaculo,null,LC,LOrA,null
UTPL_A0913,Grallariidae,Grallaricula flavirostris,Ochre-breasted Antpitta,null,NT,null,null
UTPL_A0914,Furnariidae,Pseudocolaptes lawrencii,Buffy Tuftedcheek,null,LC,null,null
UTPL_A0915,Furnariidae,Cinclodes albidiventris,Chestnut-winged Cinclodes,null,LC,null,null
UTPL_A0916,Furnariidae,Furnarius torridus,Pale-billed Hornero,null,LC,null,null
UTPL_A0917,Furnariidae,Synallaxis unirufa,Rufous Spinetail,null,LC,null,null
UTPL_A0918,Furnariidae,Phleocryptes melanops ,Wren-like Rushbird,null,LC,null,null
UTPL_A0919,Tyrannidae,Zimmerius albigularis,Choco Tyrannulet,null,LC,null,null
UTPL_A0920,Tyrannidae,Tyrannus tyrannus,Eastern Kingbird,null,null,null,MB - P
UTPL_A0921,Tyrannidae,Tachuris rubrigastra,Many-colored Rush Tyrant,null,LC,null,null
UTPL_A0922,Tyrannidae,Nephelomyias lintoni,Orange-banded Flycatcher,null,NT,null,null
UTPL_A0923,Tyrannidae,Onychorhynchus coronatus,Royal Flycatcher,null,LC,null,null
UTPL_A0925,Tyrannidae,Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,null,LC,null,null
UTPL_A0926,Tyrannidae,Muscisaxicola maculirostris,Spot-billed Ground-Tyrant,null,LC,null,MA - D
UTPL_A0927,Tyrannidae,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,null,LC,null,null
UTPL_A0928,Tyrannidae,Knipolegus aterrimus,White-winged Black-Tyrant,null,LC,null,null
UTPL_A0929,Tyrannidae,Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant,null,LC,null,null
UTPL_A0930,Tityridae,Pachyramphus versicolor,Barred Becard,null,LC,null,null
UTPL_A0931,Tityridae,Schiffornis veraepacis ,Northern Schiffornis,null,null,null,null
UTPL_A0932,Tityridae,Pachyramphus aglaiae,Rose-throated Becard,null,null,null,null
UTPL_A0933,Turdidae,Turdus maranonicus,Mara�on Thrush,null,LC,null,null
UTPL_A0935,Thraupidae,Hemispingus atropileus,Black-capped Hemispingus,null,LC,null,null
UTPL_A0937,Thraupidae,Ramphocelus flammigerus,Lemon-rumped Tanager,null,LC,null,null
UTPL_A0940,Emberizidae,Sporophila americana,Wing-barred Seedeater,null,null,null,null
UTPL_A0942,Icteridae,Sturnella militaris,Red-breasted Meadowlark,null,null,null,null
UTPL_A0944,Emberizidae,Sporophila crassirostris,Large-billed Seed-Finch,null,null,null,null
UTPL_A0946,Emberizidae,Phrygilus fruticeti,Mourning Sierra-Finch,null,LC,null,null
UTPL_A0947,Emberizidae,Phrygilus punensis,Peruvian Sierra-Finch,null,LC,null,null
UTPL_A0948,Fringillidae,Spinus magellanicus,Hooded Siskin,null,null,null,null
UTPL_A0950,Emberizidae,Sporophila funerea,Thick-billed Seed-Finch,null,null,null,null
UTPL_A0951,Parulidae,Myiothlypis luteoviridis,Citrine Warbler,null,null,null,null
UTPL_A0952,Parulidae,Geothlypis auricularis,null,null,null,null,null
