Codigo especie,familia,Species,Name,Synonim,UICN,Endemismo,Migracion
UTPL_A0199,Columbidae,Columbina minuta,Plain-breasted Ground-Dove,null,null,null,null
UTPL_A0200,Thraupidae,Conirostrum cinereum,Cinereous Conebill,null,null,null,null
UTPL_A0201,Thraupidae,Conirostrum sitticolor,Blue-backed Conebill,null,LC,null,null
UTPL_A0202,Tyrannidae,Conopias albovittatus,White-ringed Flycatcher,null,null,null,null
UTPL_A0204,Thraupidae,Conothraupis speculigera,Black-and-white Tanager,null,NT,null,MI
UTPL_A0205,Tyrannidae,Contopus cinereus,Tropical Pewee,null,LC,BT SSP,null
UTPL_A0206,Tyrannidae,Contopus cooperi,Olive-sided Flycatcher,Contopus borealis,NT,null,MB
UTPL_A0207,Tyrannidae,Contopus fumigatus,Smoke-colored Pewee,null,LC,null,null
UTPL_A0208,Tyrannidae,Contopus sordidulus,Western Wood-Pewee,null,LC,null,MB
UTPL_A0210,Cathartidae,Coragyps atratus,Black Vulture,null,LC,null,null
UTPL_A0212,Furnariidae,Cranioleuca antisiensis,Line-cheeked Spinetail,null,LC,S-SO,null
UTPL_A0213,Furnariidae,Cranioleuca erythrops,Red-faced Spinetail,null,null,null,null
UTPL_A0214,Cracidae,Crax rubra,Great Curassow,null,null,null,null
UTPL_A0215,Cuculidae,Crotophaga ani,Smooth-billed Ani,null,null,null,null
UTPL_A0216,Cuculidae,Crotophaga major,Greater Ani,null,null,null,null
UTPL_A0217,Cuculidae,Crotophaga sulcirostris,Groove-billed Ani,null,LC,null,null
UTPL_A0218,Accipitridae,Cryptoleucopteryx plumbea,Plumbeous Hawk,Leucopternis plumbea,null,null,null
UTPL_A0219,Pipridae,Cryptopipo holochlora,Green Manakin,null,null,null,null
UTPL_A0220,Tinamidae,Crypturellus berlepschi,Berlepsch�s Tinamou,null,null,B-Ch,null
UTPL_A0222,Tinamidae,Crypturellus soui,Little Tinamou,null,LC,null,null
UTPL_A0223,Tinamidae,Crypturellus transfasciatus,Pale-browed Tinamou,null,NT,BT,null
UTPL_A0225,Thraupidae,Cyanerpes caeruleus,Purple Honeycreeper,null,LC,null,null
UTPL_A0226,Cardinalidae,Cyanocompsa cyanoides,Blue-black Grosbeak,null,LC,null,null
UTPL_A0227,Corvidae,Cyanocorax mystacalis,White-tailed Jay,null,LC,BT,null
UTPL_A0229,Corvidae,Cyanolyca turcosa,Turquoise Jay,null,LC,null,null
UTPL_A0230,Vireonidae,Cyclarhis gujanensis,Rufous-browed Peppershrike,null,LC,null,null
UTPL_A0231,Thamnophilidae,Cymbilaimus lineatus,Fasciated Antshrike,null,null,null,null
UTPL_A0232,Troglodytidae,Cyphorhinus phaeocephalus,Song Wren,null,LC,null,null
UTPL_A0233,Troglodytidae,Cyphorhinus phaeocephalus,Song Wren,null,LC,null,null
UTPL_A0234,Thraupidae,Dacnis berlepschi,Scarlet-breasted Dacnis,null,null,B-Ch,null
UTPL_A0235,Thraupidae,Dacnis cayana,Blue Dacnis,null,LC,null,null
UTPL_A0236,Thraupidae,Dacnis lineata,Black-faced Dacnis,null,LC,null,null
UTPL_A0237,Thraupidae,Dacnis venusta,Scarlet-thighed Dacnis,null,null,null,null
UTPL_A0238,Trochilidae,Damophila julie,Violet-bellied Hummingbird,null,LC,null,null
UTPL_A0239,Furnariidae,Dendrocincla fuliginosa,Plain-brown Woodcreeper,null,LC,null,null
UTPL_A0241,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,null,null,null,null
UTPL_A0242,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,null,LC,null,null
UTPL_A0244,Thraupidae,Diglossa albilatera,White-sided Flowerpiercer,null,LC,null,null
UTPL_A0246,Thraupidae,Diglossa cyanea,Masked Flowerpiercer,null,LC,null,null
UTPL_A0247,Thraupidae,Diglossa humeralis,Black Flowerpiercer,null,LC,null,null
UTPL_A0248,Thraupidae,Diglossa indigotica,Indigo Flowerpiercer,null,LC,LOcA,null
UTPL_A0249,Thraupidae,Diglossa lafresnayii,Glossy Flowerpiercer,null,LC,null,null
UTPL_A0250,Thraupidae,Diglossa sittoides,Rusty Flowerpiercer,null,LC,null,null
UTPL_A0251,Trochilidae,Discosura conversii,Green Thorntail,Popelaira conversii,LC,null,null
UTPL_A0252,Icteridae,Dives warszewiczi,Scrub Blackbird,null,LC,null,null
UTPL_A0255,Picidae,Dryocopus lineatus,Lineated Woodpecker,null,null,null,null
UTPL_A0256,Thamnophilidae,Dysithamnus mentalis,Plain Antvireo,null,LC,null,null
UTPL_A0257,Thamnophilidae,Dysithamnus puncticeps,Spot-crowned Antvireo,null,null,null,null
UTPL_A0258,Ardeidae,Egretta caerulea,Little Blue Heron,null,LC,null,MB - C ?
UTPL_A0259,Ardeidae,Egretta thula,Snowy Egret,null,LC,null,null
UTPL_A0260,Ardeidae,Egretta tricolor,Tricolored Heron,null,LC,null,MB - C 
UTPL_A0261,Tyrannidae,Elaenia albiceps,White-crested Elaenia,null,null,null,null
UTPL_A0262,Tyrannidae,Elaenia flavogaster,Yellow-bellied Elaenia,null,LC,null,null
UTPL_A0264,Tyrannidae,Elaenia pallatangae,Sierran Elaenia,null,LC,null,null
UTPL_A0265,Accipitridae,Elanoides forficatus,Swallow-tailed Kite,null,LC,null,MB - C 
UTPL_A0266,Momotidae,Electron platyrhynchum,Broad-billed Motmot,null,LC,null,null
UTPL_A0267,Tyrannidae,Empidonax virescens,Acadian Flycatcher,null,LC,null,MB
UTPL_A0269,Thamnophilidae,Epinecrophylla fulviventris,Checker-throated Antwren,Myrmotherula fulviventris,LC,null,null
UTPL_A0270,Trochilidae,Eriocnemis vestita,Glowing Puffleg,Eriocnemis vestitus,LC,null,null
UTPL_A0271,Capitonidae,Eubucco bourcierii,Red-headed Barbet,null,null,null,null
UTPL_A0272,Thamnophilidae,Euchrepomis callinota,Rufous-rumped Antwren,Terenura callinota,null,null,null
UTPL_A0273,Threskiornithidae,Eudocimus albus,White Ibis,null,LC,null,null
UTPL_A0274,Fringillidae,Euphonia cyanocephala,Golden-rumped Euphonia,null,LC,null,null
UTPL_A0275,Fringillidae,Euphonia fulvicrissa,Fulvous-vented Euphonia,null,null,null,null
UTPL_A0276,Fringillidae,Euphonia laniirostris,Thick-billed Euphonia,null,LC,null,null
UTPL_A0278,Fringillidae,Euphonia saturata,Orange-crowned Euphonia,null,LC,null,null
UTPL_A0279,Fringillidae,Euphonia xanthogaster,Orange-bellied Euphonia,null,LC,null,null
UTPL_A0280,Eurypygidae,Eurypyga helias,Sunbittern,null,LC,null,null
UTPL_A0281,Tyrannidae,Euscarthmus meloryphus,Tawny-crowned Pygmy-Tyrant,null,LC,null,null
UTPL_A0282,Trochilidae,Eutoxeres aquila,White-tipped Sicklebill,null,LC,null,null
UTPL_A0283,Falconidae,Falco columbarius,Merlin,null,LC,null,MB
UTPL_A0284,Falconidae,Falco femoralis,Aplomado Falcon,null,LC,null,null
UTPL_A0285,Falconidae,Falco peregrinus,Peregrine Falcon,null,null,null,MB-C
UTPL_A0286,Falconidae,Falco rufigularis,Bat Falcon,null,LC,null,null
UTPL_A0287,Falconidae,Falco sparverius,American Kestrel,null,LC,null,null
UTPL_A0288,Trochilidae,Florisuga mellivora,White-necked Jacobin,null,LC,null,null
UTPL_A0289,Tyrannidae,Fluvicola nengeta,Masked Water-Tyrant,null,null,null,null
UTPL_A0290,Formicariidae,Formicarius nigricapillus,Black-headed Antthrush,null,null,null,null
UTPL_A0291,Formicariidae,Formicarius rufipectus,Rufous-breasted Antthrush,null,LC,null,null
UTPL_A0292,Psittacidae,Forpus coelestis,Pacific Parrotlet,null,LC,BT,null
UTPL_A0293,Fregatidae,Fregata magnificens,Magnificent Frigatebird,null,LC,null,null
UTPL_A0294,Rallidae,Fulica ardesiaca,Slate-colored Coot,null,null,null,null
UTPL_A0295,Thraupidae,Furnarius cinnamomeus,Pale-legged Hornero,null,LC,BT,null
UTPL_A0296,Furnariidae,Furnarius leucopus,Pale-legged Hornero,null,null,BT ssp,null
UTPL_A0297,Galbulidae,Galbula ruficauda,Rufous-tailed Jacamar,null,LC,null,null
UTPL_A0300,Scolopacidae,Gallinago jamesoni,Andean Snipe,null,LC,null,null
UTPL_A0302,Rallidae,Gallinula galeata,Common Gallinule,null,null,null,null
UTPL_A0303,Accipitridae,Gampsonyx swainsonii,Pearl Kite,null,LC,null,null
UTPL_A0304,Laridae,Gelochelidon nilotica,Gull-billed Tern,Sterna nilotica,null,null,null
UTPL_A0306,Furnariidae,Geositta peruviana,Coastal miner ,null,null,null,null
UTPL_A0307,Parulidae,Geothlypis aequinoctialis,Masked Yellowthroat,null,LC,BT,null
UTPL_A0308,Parulidae,Geothlypis semiflava,Olive-crowned Yellowthroat,null,LC,null,null
UTPL_A0309,Columbidae,Zentrygon frenata,White-throated Quail-Dove,null,LC,null,null
UTPL_A0310,Columbidae,Geotrygon montana,Ruddy Quail-Dove,null,LC,null,null
UTPL_A0311,Accipitridae,Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,null,LC,null,null
UTPL_A0312,Accipitridae,Geranoaetus polyosoma,Variable Hawk,Buteo polyosoma,LC,null,null
UTPL_A0313,Accipitridae,Geranospiza caerulescens,Crane Hawk,null,LC,null,null
UTPL_A0315,Strigidae,Glaucidium jardinii,Andean Pygmy-Owl,null,LC,null,null
UTPL_A0317,Strigidae,Glaucidium peruanum,Peruvian Pygmy-Owl,null,LC,BT,null
UTPL_A0318,Trochilidae,Glaucis aeneus,Bronzy Hermit,null,null,null,null
UTPL_A0319,Furnariidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,null,LC,null,null
UTPL_A0320,Grallariidae,Grallaria guatimalensis,Scaled Antpitta,null,LC,null,null
UTPL_A0321,Grallariidae,Grallaria haplonota,Plain-backed Antpitta,null,LC,null,null
UTPL_A0322,Grallariidae,Grallaria nuchalis,Chestnut-naped Antpitta,null,LC,null,null
UTPL_A0323,Grallariidae,Grallaria quitensis,Tawny Antpitta,null,LC,null,null
UTPL_A0324,Grallariidae,Grallaria ruficapilla,Chestnut-crowned Antpitta,null,LC,null,null
UTPL_A0325,Grallariidae,Grallaria rufula,Rufous Antpitta,null,LC,null,null
UTPL_A0326,Grallariidae,Grallaria squamigera,Undulated Antpitta,null,LC,null,null
UTPL_A0327,Grallariidae,Grallaria watkinsi,Watkins� Antpitta,null,NT,S-SO,null
UTPL_A0330,Haematopodidae,Haematopus palliatus,American Oystercatcher,null,null,null,null
UTPL_A0332,Thraupidae,Haplospiza rustica,Slaty Finch,null,LC,null,null
UTPL_A0333,Accipitridae,Harpagus bidentatus,Double-toothed Kite,null,LC,null,null
UTPL_A0334,Trochilidae,Heliangelus amethysticollis,Amethyst-throated Sunangel,null,LC,null,null
UTPL_A0335,Trochilidae,Heliangelus micraster,Little Sunangel,null,LC,LOrA,null
UTPL_A0336,Trochilidae,Heliangelus strophianus,Gorgeted Sunangel,null,LC,LOcA,null
UTPL_A0337,Trochilidae,Heliangelus viola,Purple-throated Sunangel,null,null,S-SO,null
UTPL_A0338,Trochilidae,Heliodoxa jacula,Green-crowned Brilliant,null,LC,null,null
UTPL_A0340,Trochilidae,Heliodoxa rubinoides,Fawn-breasted Brilliant,null,LC,null,null
UTPL_A0341,Trochilidae,Heliomaster longirostris,Long-billed Starthroat,null,LC,null,null
UTPL_A0342,Trochilidae,Heliothryx barroti,Purple-crowned Fairy,null,LC,null,null
UTPL_A0343,Furnariidae,Hellmayrea gularis,White-browed Spinetail,null,LC,null,null
UTPL_A0345,Thraupidae,Hemispingus melanotis,Black-eared Hemispingus,null,LC,null,null
UTPL_A0346,Thraupidae,Hemispingus superciliaris,Superciliaried Hemispingus,null,LC,null,null
UTPL_A0347,Thraupidae,Hemispingus verticalis,Black-headed Hemispingus,null,LC,null,null
UTPL_A0348,Thraupidae,Hemithraupis guira,Guira Tanager,null,LC,null,null
UTPL_A0349,Tyrannidae,Hemitriccus granadensis,Black-throated Tody-Tyrant,null,LC,null,null
UTPL_A0350,Troglodytidae,Henicorhina leucophrys,Gray-breasted Wood-Wren,null,LC,null,null
UTPL_A0351,Falconidae,Herpetotheres cachinnans,Laughing Falcon,null,LC,null,null
UTPL_A0353,Thamnophilidae,Herpsilochmus rufimarginatus,Rufous-winged Antwren,null,null,null,null
UTPL_A0354,Thraupidae,Heterospingus xanthopygius,Scarlet-browed Tanager,null,null,B-Ch,null
UTPL_A0355,Recurvirostridae,Himantopus mexicanus,Black-necked Stilt,null,null,null,null
UTPL_A0356,Hirundinidae,Hirundo rustica,Barn Swallow,null,LC,null,MB
UTPL_A0358,Furnariidae,Hylocryptus erythrocephalus,Henna-hooded Foliage-gleaner,null,VU,BT,null
UTPL_A0359,Furnariidae,Automolus subulatus,Western Woodhaunter,Hyloctistes virgatus,null,null,null
UTPL_A0360,Tyrannidae,Ochthoeca diadema,Yellow-bellied Chat-Tyrant,null,LC,null,null
UTPL_A0361,Grallariidae,Hylopezus perspicillatus,Streak-chested Antpitta,null,null,null,null
UTPL_A0362,Vireonidae,Pachysylvia decurtata,Lesser Greenlet,null,null,null,null
UTPL_A0363,Thamnophilidae,Hylophylax naevioides,Spotted Antbird,null,null,null,null
UTPL_A0364,Icteridae,Icterus graceannae,White-edged Oriole,null,LC,BT,null
UTPL_A0365,Icteridae,Icterus mesomelas,Yellow-tailed Oriole,null,LC,null,null
UTPL_A0366,Accipitridae,Ictinia plumbea,Plumbeous Kite,null,LC,null,MB - C ?
UTPL_A0370,Thraupidae,Iridosornis rufivertex,Golden-crowned Tanager,null,LC,null,null
UTPL_A0371,Ardeidae,Ixobrychus exilis,Least Bittern,null,null,null,MB - C ?
UTPL_A0372,Jacanidae,Jacana jacana,Wattled Ja�ana,null,null,null,null
UTPL_A0373,Tyrannidae,Knipolegus orenocensis,Riverside Tyrant,null,null,null,null
UTPL_A0375,Trochilidae,Lafresnaya lafresnayi,Mountain Velvetbreast,null,LC,null,null
UTPL_A0376,Laridae,Larosterna inca,Inca Tern,null,null,null,DP - D
UTPL_A0377,Laridae,Larus belcheri,Belcher's Gull,null,null,null,DP - D
UTPL_A0378,Laridae,Larus dominicanus,Kelp Gull,null,null,null,DP
UTPL_A0379,Columbidae,Metriopelia ceciliae,Bare-faced Ground-Dove,null,LC,null,null
UTPL_A0380,Rallidae,Laterallus albigularis,White-throated Crake,null,LC,null,null
UTPL_A0382,Tyrannidae,Lathrotriccus griseipectus,Gray-breasted Flycatcher,null,VU,BT - RM,null
UTPL_A0383,Tyrannidae,Legatus leucophaius,Piratic Flycatcher,null,LC,null,null
UTPL_A0384,Furnariidae,Lepidocolaptes lachrymiger,Montane Woodcreeper,null,null,null,null
UTPL_A0385,Furnariidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,null,LC,null,null
UTPL_A0386,Pipridae,Lepidothrix coronata,Blue-crowned Manakin,null,null,null,null
UTPL_A0387,Furnariidae,Leptasthenura pileata,Rusty-crowned Tit-spinetail,null,null,null,null
UTPL_A0388,Accipitridae,Leptodon cayanensis,Gray-headed Kite,null,LC,null,null
UTPL_A0390,Tyrannidae,Leptopogon superciliaris,Slaty-capped Flycatcher,null,LC,null,null
UTPL_A0391,Psittacidae,Leptosittaca branickii,Golden-plumed Parakeet,null,VU,null,null
UTPL_A0392,Columbidae,Leptotila ochraceiventris,Ochre-bellied Dove,null,VU,BT,null
UTPL_A0393,Columbidae,Leptotila pallida,Pallid Dove,null,LC,B-Ch,null
UTPL_A0394,Columbidae,Leptotila verreauxi,White-tipped Dove,null,LC,null,null
UTPL_A0395,Trochilidae,Lesbia nuna,Green-tailed Trainbearer,null,LC,null,null
UTPL_A0396,Trochilidae,Leucippus baeri,Tumbes Hummingbird,null,LC,BT,null
UTPL_A0398,Laridae,Leucophaeus atricilla,Laughing Gull,null,null,null,MB
UTPL_A0399,Laridae,Leucophaeus modestus,Gray Gull,null,null,null,DP
UTPL_A0400,Laridae,Leucophaeus pipixcan,Franklin�s Gull,null,null,null,MB - P
UTPL_A0401,Accipitridae,Leucopternis semiplumbeus,Semiplumbeous Hawk,null,null,null,null
UTPL_A0402,Scolopacidae,Limnodromus griseus,Short-billed Dowitcher,null,null,null,MB
UTPL_A0403,Scolopacidae,Limosa haemastica,Hudsonian Godwit,null,null,null,MB - P
UTPL_A0404,Cotingidae,Lipaugus unirufus,Rufous Piha,null,null,null,null
UTPL_A0405,Strigidae,Lophostrix cristata,Crested Owl,null,LC,null,null
UTPL_A0406,Tyrannidae,Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,null,LC,null,null
UTPL_A0408,Caprimulgidae,Lurocalis semitorquatus,Short-tailed Nighthawk,null,LC,null,null
UTPL_A0409,Pipridae,Machaeropterus deliciosus,Club-winged Manakin,null,LC,LOcA,null
UTPL_A0410,Bucconidae,Malacoptila panamensis,White-whiskered Puffbird,null,LC,null,null
UTPL_A0411,Pipridae,Manacus manacus,White-bearded Manakin,null,LC,null,null
UTPL_A0412,Furnariidae,Margarornis squamiger,Pearled Treerunner,null,LC,null,null
UTPL_A0413,Pipridae,Masius chrysopterus,Golden-winged Manakin,null,LC,null,null
UTPL_A0414,Tyrannidae,Mecocerculus calopterus,Rufous-winged Tyrannulet,null,LC,BT,null
UTPL_A0415,Tyrannidae,Mecocerculus leucophrys,White-throated Tyrannulet,null,LC,null,null
UTPL_A0417,Tyrannidae,Mecocerculus poecilocercus,White-tailed Tyrannulet,null,null,null,null
UTPL_A0418,Tyrannidae,Mecocerculus stictopterus,White-banded Tyrannulet,null,LC,null,null
UTPL_A0419,Alcedinidae,Megaceryle torquata,Ringed Kingfisher,null,LC,null,null
UTPL_A0420,Tyrannidae,Megarynchus pitangua,Boat-billed Flycatcher,null,LC,null,null
UTPL_A0421,Strigidae,Megascops albogularis,White-throated Screech-Owl,Otus albogularis,LC,null,null
UTPL_A0422,Strigidae,Megascops guatemalae,Choco Screech-Owl,null,LC,null,null
UTPL_A0423,Strigidae,Megascops koepckeae,Koepcke's Screech-Owl,Otus koepckeae,LC,null,null
UTPL_A0424,Strigidae,Megascops roboratus,Peruvian Screech-Owl,Otus roboratus,LC,BT,null
UTPL_A0426,Picidae,Melanerpes pucherani,Black-cheeked Woodpecker,null,LC,null,null
UTPL_A0427,Melanopareiidae,Melanopareia elegans,Elegant Crescentchest,null,LC,BT,null
UTPL_A0430,Trochilidae,Metallura tyrianthina,Tyrian Metaltail,null,LC,null,null
UTPL_A0431,Falconidae,Micrastur ruficollis ,Barred Forest-Falcon ,null,LC,null,null
UTPL_A0432,Falconidae,Micrastur semitorquatus,Collared Forest-Falcon,null,null,null,null
UTPL_A0433,Polioptilidae,Microbates cinereiventris,Tawny-faced Gnatwren,null,LC,null,null
UTPL_A0434,Troglodytidae,Microcerculus marginatus,Scaly-breasted Wren,null,null,null,null
UTPL_A0435,Bucconidae,Micromonacha lanceolata,Lanceolated Monklet,null,null,null,null
UTPL_A0436,Thamnophilidae,Microrhopias quixensis,Dot-winged Antwren,null,null,null,null
UTPL_A0437,Mimidae,Mimus longicaudatus,Long-tailed Mockingbird,null,LC,null,null
UTPL_A0438,Tyrannidae,Mionectes oleagineus,Ochre-bellied Flycatcher,null,LC,null,null
UTPL_A0439,Tyrannidae,Mionectes olivaceus,Olive-striped Flycatcher,null,LC,null,null
UTPL_A0440,Tyrannidae,Mionectes striaticollis,Streak-necked Flycatcher,null,LC,null,null
UTPL_A0441,Incertae Sedis,Mitrospingus cassinii,Dusky-faced Tanager,null,null,null,null
UTPL_A0442,Parulidae,Mniotilta varia,Black-and-white Warbler,null,LC,null,MB
UTPL_A0443,Icteridae,Molothrus bonariensis,Shiny Cowbird,null,LC,null,null
UTPL_A0444,Icteridae,Molothrus oryzivorus,Giant Cowbird,Scaphidura oryzivora,LC,null,null
UTPL_A0445,Momotidae,Momotus momota,Amazonian Motmot,null,LC,null,null
UTPL_A0446,Momotidae,Momotus subrufescens,Whooping Motmot,null,null,null,null
UTPL_A0447,Accipitridae,Morphnarchus princeps,Barred Hawk,null,LC,null,null
UTPL_A0448,Tyrannidae,Muscigralla brevicauda,Short-tailed Field-Tyrant,null,LC,null,null
UTPL_A0449,Tyrannidae,Muscisaxicola albilora,White-browed Ground-Tyrant,null,LC,null,MA
UTPL_A0451,Turdidae,Myadestes ralloides,Andean Solitaire,null,LC,null,null
UTPL_A0452,Ciconiidae,Mycteria americana,Wood Stork,null,LC,null,null
UTPL_A0453,Tyrannidae,Myiarchus phaeocephalus,Sooty-crowned Flycatcher,null,LC,BT - RM,null
UTPL_A0454,Tyrannidae,Myiarchus semirufus,Rufous Flycatcher,null,null,null,null
UTPL_A0455,Tyrannidae,Myiarchus tuberculifer,Dusky-capped Flycatcher,null,LC,null,null
UTPL_A0456,Tyrannidae,Myiobius atricaudus,Black-tailed Flycatcher,null,LC,null,null
UTPL_A0457,Tyrannidae,Myiobius barbatus,Whiskered Flycatcher,null,null,null,null
UTPL_A0458,Parulidae,Myioborus melanocephalus,Spectacled Redstart,null,LC,null,null
UTPL_A0459,Parulidae,Myioborus miniatus,Slate-throated Whitestart,null,LC,null,null
UTPL_A0460,Tyrannidae,Myiodynastes bairdii,Baird�s Flycatcher,null,LC,BT,null
UTPL_A0461,Tyrannidae,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,null,LC,null,null
UTPL_A0462,Tyrannidae,Myiodynastes maculatus,Streaked Flycatcher,null,LC,null,MA - C
UTPL_A0463,Tyrannidae,Myiopagis caniceps,Gray Elaenia,null,null,null,null
UTPL_A0464,Tyrannidae,Myiopagis subplacens,Pacific Elaenia,null,LC,BT,null
UTPL_A0465,Tyrannidae,Myiopagis viridicata,Greenish Elaenia,null,LC,null,null
UTPL_A0466,Tyrannidae,Myiophobus fasciatus,Bran-colored Flycatcher,null,LC,null,null
UTPL_A0467,Tyrannidae,Myiophobus flavicans,Flavescent Flycatcher,null,LC,null,null
UTPL_A0468,Tyrannidae,Myiophobus phoenicomitra,Orange-crested Flycatcher,null,LC,LOcA - LOrA,null
UTPL_A0469,Tyrannidae,Myiornis ecaudatus,Short-tailed  Pygmy-Tyrant,null,null,null,null
UTPL_A0470,Tyrannidae,Myiotheretes fumigatus,Smoky Bush-Tyrant,null,LC,null,null
UTPL_A0471,Tyrannidae,Myiotheretes striaticollis,Streak-throated Bush-Tyrant,null,LC,null,null
UTPL_A0472,Parulidae,Myiothlypis coronata,Russet-crowned Warbler,null,null,null,null
UTPL_A0473,Parulidae,Myiothlypis fraseri,Gray-and-gold Warbler,Brasileuterus fraseri,null,BT,null
UTPL_A0474,Parulidae,Myiothlypis fulvicauda,Buff-rumped Warbler,null,null,null,null
UTPL_A0475,Parulidae,Myiothlypis nigrocristata,Black-crested Warbler,Brasileuterus negrocristata,null,null,null
UTPL_A0476,Tyrannidae,Myiotriccus ornatus,Ornate Flycatcher,null,LC,null,null
UTPL_A0477,Tyrannidae,Myiozetetes cayanensis,Rusty-margined Flycatcher,null,LC,null,null
UTPL_A0478,Tyrannidae,Myiozetetes granadensis,Gray-capped Flycatcher,null,null,null,null
UTPL_A0479,Tyrannidae,Myiozetetes similis,Social Flycatcher,null,LC,null,null
UTPL_A0480,Thamnophilidae,Myrmeciza exsul,Chestnut-backed Antbird,null,LC,null,null
UTPL_A0481,Thamnophilidae,Myrmeciza griseiceps,Gray-headed Antbird,null,VU,S-SO,null
UTPL_A0482,Thamnophilidae,Myrmeciza immaculata,Immaculate Antbird,null,LC,null,null
UTPL_A0483,Thamnophilidae,Myrmeciza nigricauda,Esmeraldas Antbird,Sipia nigricaudata,LC,LOcA,null
UTPL_A0484,Trochilidae,Myrmia micrura,Short-tailed Woodstar,null,LC,BT,null
UTPL_A0485,Thamnophilidae,Myrmotherula axillaris,White-flanked Antwren,null,LC,null,null
UTPL_A0486,Thamnophilidae,Myrmotherula schisticolor,Slaty Antwren,null,LC,null,null
UTPL_A0487,Trochilidae,Myrtis fanny,Purple-collared Woodstar,null,null,null,null
UTPL_A0488,Rallidae,Mustelirallus erythrops ,Paint-billed Crake,null,null,null,null
UTPL_A0489,Anatidae,Netta erythrophthalma,Southern Pochard,null,null,null,null
UTPL_A0490,Anatidae,Nomonyx dominicus,Masked Duck,null,LC,null,null
UTPL_A0491,Bucconidae,Notharchus tectus,Pied Puffbird,null,null,null,null
UTPL_A0492,Tinamidae,Nothoprocta pentlandii,Andean Tinamou,null,LC,null,null
UTPL_A0493,Scolopacidae,Numenius phaeopus,Whimbrel,null,null,null,MB
UTPL_A0494,Ardeidae,Nyctanassa violacea,Yellow-crowned Night-Heron,null,LC,null,null
UTPL_A0495,Nyctibiidae,Nyctibius griseus,Common Potoo,null,LC,null,null
UTPL_A0496,Ardeidae,Nycticorax nycticorax,Black-crowned Night-Heron,null,LC,null,MB - C ?
UTPL_A0497,Caprimulgidae,Nyctidromus albicollis,Common Pauraque,null,LC,null,null
UTPL_A0498,Caprimulgidae,Nyctidromus anthonyi,Scrub Nightjar,null,LC,BT,null
UTPL_A0499,Bucconidae,Nystalus radiatus,Barred Puffbird,null,LC,null,null
UTPL_A0500,Hydrobatidae,Oceanites gracilis,White-vented Storm-Petrel,null,null,null,VP
UTPL_A0501,Hydrobatidae,Oceanites oceanicus,Wilson�s Storm-Petrel,null,null,null,VP - S
UTPL_A0502,Hydrobatidae,Oceanodroma homochroa,Ashy Storm-Petrel,null,null,null,VP - ND 
UTPL_A0505,Hydrobatidae,Oceanodroma melania,Black Storm-Petrel,null,null,null,VP - N 
UTPL_A0506,Hydrobatidae,Oceanodroma tethys,Wedge-rumped Storm-Petrel,null,null,null,VP
UTPL_A0507,Tyrannidae,Ochthoeca frontalis,Crowned Chat-Tyrant,null,LC,null,null
UTPL_A0508,Tyrannidae,Ochthoeca fumicolor,Brown-backed Chat-Tyrant,null,LC,null,null
UTPL_A0509,Tyrannidae,Ochthoeca jelskii,Jelski�s Chat-Tyrant,Silvicultrix jelskii,LC,S-SO,null
UTPL_A0510,Tyrannidae,Ochthoeca piurae ,Piura Chat-Tyrant ,null,null,null,null
UTPL_A0511,Tyrannidae,Ochthoeca rufipectoralis,Rufous-breasted Chat-Tyrant,null,LC,null,null
UTPL_A0512,Trochilidae,Ocreatus underwoodii,Booted Racket-tail,null,LC,null,null
UTPL_A0513,Odontophoridae,Odontophorus erythrops,Rufous-fronted Wood-Quail,null,LC,null,null
UTPL_A0515,Tyrannidae,Onychorhynchus occidentalis,Pacific Royal-Flycatcher,null,VU,BT,null
UTPL_A0516,Charadriidae,Oreopholus ruficollis,Tawny-throated Dotterel,null,null,null,null
UTPL_A0518,Tyrannidae,Ornithion brunneicapillus,Brown-capped Tyrannulet,null,LC,null,null
UTPL_A0519,Hirundinidae,Orochelidon murina,Brown-bellied Swallow,Notiochelidon murina,LC,null,null
UTPL_A0520,Cracidae,Ortalis erythroptera,Rufous-headed Chachalaca,null,VU,BT - RM,null
UTPL_A0521,Anatidae,Oxyura jamaicensis,Andean Duck,null,null,null,null
UTPL_A0522,Tityridae,Pachyramphus albogriseus,Black-and-white Becard,null,LC,null,null
UTPL_A0523,Tityridae,Pachyramphus cinnamomeus,Cinnamon Becard,null,LC,null,null
UTPL_A0524,Tityridae,Pachyramphus homochrous,One-colored Becard,null,LC,null,null
UTPL_A0525,Tityridae,Pachyramphus polychopterus,White-winged Becard,null,null,null,null
UTPL_A0526,Tityridae,Pachyramphus spodiurus,Slaty Becard,null,EN,BT,null
UTPL_A0527,Pandionidae,Pandion haliaetus,Osprey,null,LC,null,MB
UTPL_A0528,Apodidae,Panyptila cayennensis,Lesser Swallow-tailed Swift,null,LC,null,null
UTPL_A0529,Accipitridae,Parabuteo leucorrhous,White-rumped Hawk,null,LC,null,null
