especie,url
14,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/SE/IMG_4684.JPG
14,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/25. Amazilia amazilia/SE/IMG_4687.JPG
713,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08842.JPG
713,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08843.JPG
713,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08844.JPG
713,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/26. Trogon mesurus/MS/DSC08845.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/MS/DSC09764(MS).JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/MS/DSC09765(MS).JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h1.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h2.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-h3.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Ca-m.JPG
137,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/27. Chloroceryle americana/SE/Chloroceryle americana.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm10.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm13.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm4.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm6.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/Mm7.JPG
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota 2.jpg
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota 3.jpg
378,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/28. Momotus momota/SE/momotus momota.jpg
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4951.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4953.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4955.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4958.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4959.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4960.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_4961.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5030.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5032.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5033.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5035.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5036.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5038.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5040.JPG
102,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/29. Campephilus gayaquilensis/SE/IMG_5043.JPG
41,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/3. Ardea alba/MS/DSC09942(MS).JPG
41,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/3. Ardea alba/MS/DSC09943(MS).JPG
515,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3978.JPG
515,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3979.JPG
515,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/IMG_3989.JPG
515,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/31. Picumnus sclateri/SE/redu.jpg
253,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01061 (MS).JPG
253,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01061(MS).JPG
253,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/33. Furnarius cinnamomeus/MS/DSC01063(MS).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (2).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (3).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (4).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (5).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (6).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (7).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (8).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo (9).JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/MS/DSC09787 (Synallaxis atictothorax) Colaespina collarejo.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5007.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5008.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5009.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5012.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5013.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5017.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/IMG_5020.JPG
644,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/34. Synallaxis stictothorax/SE/redu.jpg
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (10).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (3).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (4).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (5).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (6).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (7).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (8).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii) (9).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/MS/DSC09571 (Lepidocolaptes souleyetii).JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3482.JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3485.JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3493.JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3881.JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/IMG_3887.JPG
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/lepidocadaptes souleyetti 2.jpg
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/lepidocadaptes souleyetti.jpg
325,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/37. Lepidocolaptes souleyetii/SE/Ls1.JPG
614,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/38. Stittasomus griseicapillus/MS/DSC00022 (MS).JPG
614,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/38. Stittasomus griseicapillus/SE/IMG_4013.JPG
614,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/38. Stittasomus griseicapillus/SE/IMG_4019.JPG
614,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/38. Stittasomus griseicapillus/SE/IMG_4032.JPG
614,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/38. Stittasomus griseicapillus/SE/IMG_4630.JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/MS/DSC09459 (Sakesphorus bernardi) (3).JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/MS/DSC09459 (Sakesphorus bernardi) (4).JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/MS/DSC09459 (Sakesphorus bernardi).JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/MS/DSC09997 (MS).JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/IMG_3560.JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/IMG_3564.JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/IMG_3565.JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/IMG_3567.JPG
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/sakesphorus bernardi 2.jpg
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/sakesphorus bernardi 3.jpg
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/sakesphorus bernardi 4.jpg
681,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/39. Sakesphorus bernardi/SE/sakesphorus bernardi.jpg
89,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/4. Butorides striatus/SE/IMG_4736.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3895.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3910.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3950.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3954.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_3959.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_4662.JPG
103,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/41. Camptostoma obsoletum/SE/IMG_4665.JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/MS/DSC09900(MS).JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/MS/DSC09902(MS).JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3540.JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3542.JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/IMG_3545.JPG
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus 2.jpg
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus 3.jpg
394,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/44. Myiodynastes maculatus/SE/myiodynastes maculatus1.jpg
385,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4062.JPG
385,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4064.JPG
385,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/47. Myiarchus phaeocephalus/SE/IMG_4072.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/MS/hembra
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4358.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4361.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4638.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4639.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4644.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4646.JPG
570,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/49. Pyrocephalus rubinus/SE/IMG_4648.JPG
452,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/50. Platypsaris homochrous/MS/Macho
452,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/50. Platypsaris homochrous/SE/Ph.JPG
452,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/50. Platypsaris homochrous/SE/Ph3.JPG
450,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/51. Pachyramphus albogriseus/MS/hembra
194,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/MS/DSC08277 (MS).jpg
194,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4281.JPG
194,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4457.JPG
194,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4615.JPG
194,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/55. Cyanocorax mystacalis/SE/IMG_4703.JPG
180,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/6. Coragyps atratus/MS/DSC07522 (MS).JPG
106,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/60. Campylorhynchus fasciatus/MS/DSC01207(MS).JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00001(MS).JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00002(MS).JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00004(MS).JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/MS/DSC00006(MS).JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta12.JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta2.JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta3.JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta4.JPG
707,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/62. Troglodytes aedon/SE/Ta6.JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/MS/DSC09487(MS).JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/MS/DSC09488(MS).JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/MS/DSC09489(MS).JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/SE/IMG_4142.JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/SE/IMG_4143.JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/SE/IMG_4144.JPG
405,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/65. Basileuterus fraseri/SE/IMG_4145.JPG
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3669.JPG
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3672.JPG
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3673.JPG
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/IMG_3688.JPG
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/sporophila schistacea 2.jpg
622,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/69. Sporophila corvina/SE/sporophila schistacea.jpg
267,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4521.JPG
267,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4522.JPG
267,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4527.JPG
267,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4529.JPG
267,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/7. Geranospiza caerulescens/SE/IMG_4532.JPG
309,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/72. Icterus graceannae/SE/icterus graceannae 2..jpg
309,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/72. Icterus graceannae/SE/icterus graceannae.jpg
309,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/72. Icterus graceannae/SE/Ig2.JPG
309,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/72. Icterus graceannae/SE/Ig5.JPG
310,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/73. Icterus mesomelas/MS/DSC00948(MS).JPG
310,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/73. Icterus mesomelas/MS/DSC00949(MS).JPG
736,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/83. Vireo olivaceus/SE/IMG_3996.JPG
736,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/83. Vireo olivaceus/SE/IMG_3998.JPG
736,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/83. Vireo olivaceus/SE/IMG_4003.JPG
736,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/83. Vireo olivaceus/SE/IMG_4006.JPG
458,http://carbono.utpl.edu.ec:8080/bio/smartland/aves/9. Parabuteo Unicinctus/MS/DSC07032 (Parabuteo unicinctus) Gavilan alicastaño.JPG
