id,nombre,dependencia
1,Ecuador,1
2,Perú,2
3,El Oro,1
4,Loja,1
5,Manabí,1
6,Lambayeque,2
7,Piura,2
8,Guayas,1
9,Esmeraldas,1
10,Los Ríos,1
11,Babahoyo,1
12,Santa Elena,1
13,Azuay,1
14,Ayabaca,2
15,Chulucanas,2
16,Lambayeque-Huancabamaba,2
17,Ferreñafe,2
18,Chiclayo-Chota,2
19,Cajamarca,2
20,La Libertad,2
21,Zamora-Chinchipe,1
22,Tumbes,2
23,Cañar,1
24,Napo,1
25,Pichincha,1
26,Santo Domingo de los Tsáchichilas,1
27,Napo,1
28,Santo Domingo de los Tsaíchilas,1
