,CodigoEspecie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
528,UTPL_A0604,76,Piranga leucoptera,White-winged Tanager,null,1,null,null
529,UTPL_A0605,76,Piranga rubra,Summer Tanager,null,1,null,MB
530,UTPL_A0607,105,Pittasoma rufopileatum,Rufous-crowned Antpitta,null,0,B-Ch,null
531,UTPL_A0608,89,Platalea ajaja,Roseate Spoonbill,null,0,null,null
532,UTPL_A0609,62,Platyrinchus coronatus,Golden-crowned Spadebill,null,0,null,null
533,UTPL_A0610,62,Platyrinchus mystaceus,White-throated Spadebill,null,1,null,null
534,UTPL_A0611,89,Plegadis ridgwayi,Puna Ibis,null,1,null,null
535,UTPL_A0612,85,Pluvialis dominica,American Golden-Plover,null,0,null,MB - P
536,UTPL_A0613,85,Pluvialis squatarola,Gray Plover,null,0,null,MB
537,UTPL_A0614,86,Podiceps major,Great Grebe,null,0,null,null
538,UTPL_A0615,86,Podiceps occipitalis,Silvery Grebe,null,0,null,null
539,UTPL_A0616,86,Podilymbus podiceps,Pied-billed Grebe,null,0,null,null
540,UTPL_A0617,62,Poecilotriccus ruficeps,Rufous-crowned Tody-Flycatcher,null,1,null,null
541,UTPL_A0618,70,Polioptila plumbea,Tropical Gnatcatcher,null,1,null,null
542,UTPL_A0619,48,Polyonymus caroli,Bronze-tailed Comet,null,1,null,null
543,UTPL_A0620,73,Poospiza hispaniolensis,Collared Warbling-Finch,null,1,BT,null
544,UTPL_A0622,38,Porphyrio martinicus,Purple Gallinule,null,0,null,null
545,UTPL_A0623,61,Premnoplex brunnescens,Spotted Barbtail,null,1,null,null
546,UTPL_A0626,94,Procellaria parkinsoni,Parkinson�s Petrel,null,0,null,VP - S 
547,UTPL_A0627,68,Progne chalybea,Gray-breasted Martin,null,1,null,null
548,UTPL_A0629,68,Progne subis,Purple Martin,null,1,null,MB - D - P
549,UTPL_A0630,68,Progne tapera,Brown-chested Martin,null,1,null,MA - C
550,UTPL_A0631,78,Psarocolius angustifrons,Russet-backed Oropendola,null,1,null,null
551,UTPL_A0632,78,Psarocolius wagleri,Chestnut-headed Oropendola,Zarinchus wagleri,0,null,null
552,UTPL_A0634,37,Pseudastur occidentalis,Gray-backed Hawk,Leucopternis occidentalis,4,BT,null
553,UTPL_A0635,62,Pseudelaenia leucospodia,Gray-and-white Tyrannulet,null,1,BT,null
554,UTPL_A0636,61,Pseudocolaptes boissonneautii,Streaked Tuftedcheek,null,1,null,null
555,UTPL_A0637,61,Pseudocolaptes johnsoni,Pacific Tuftedcheek,null,0,null,null
556,UTPL_A0638,43,Pseudoscops clamator,Striped Owl,null,1,null,null
557,UTPL_A0639,62,Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,null,1,null,null
558,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
559,UTPL_A0641,56,Psittacara wagleri,Scarlet-fronted Parakeet,Aratinga wagleri,3,null,null
560,UTPL_A0642,94,Pterodroma phaeopygia,Dark-rumped Petrel,null,0,null,VP
561,UTPL_A0643,53,Pteroglossus torquatus ,Collared Aracari ,null,1,null,null
562,UTPL_A0644,48,Pterophanes cyanopterus,Great Sapphirewing,null,1,null,null
563,UTPL_A0645,94,Ardenna creatopus,Pink-footed Shearwater,Puffinus creatopus,0,null,VP - S 
564,UTPL_A0646,94,Ardenna grisea,Sooty Shearwater,Puffinus griseus,0,null,VP - S 
565,UTPL_A0647,94,Puffinus lherminieri,Audubon�s Shearwater,null,0,null,VP - D 
566,UTPL_A0648,43,Pulsatrix perspicillata,Spectacled Owl,null,1,null,null
567,UTPL_A0649,68,Pygochelidon cyanoleuca,Blue-and-white Swallow,Notiochelidon cyanoleuca,1,null,MA - C
568,UTPL_A0650,57,Pyriglena leuconota,White-backed Fire-eye,null,1,null,null
569,UTPL_A0651,56,Pyrilia pulchra,Rose-faced Parrot,Pionopsitta pulchra,1,B-Ch,null
570,UTPL_A0652,62,Pyrocephalus rubinus,Vermilion Flycatcher,null,1,null,MA - C
571,UTPL_A0653,62,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,null,1,null,null
572,UTPL_A0654,56,Pyrrhura orcesi,El Oro Parakeet,null,4,S-SO,null
573,UTPL_A0655,63,Querula purpurata,Purple-throated Fruitcrow,null,0,null,null
574,UTPL_A0656,78,Quiscalus mexicanus,Great-tailed Grackle,null,0,null,null
575,UTPL_A0657,38,Rallus longirostris,Clapper Rail,null,0,null,null
576,UTPL_A0658,53,Ramphastos ambiguus,Yellow-throated Toucan,null,3,null,null
577,UTPL_A0659,53,Ramphastos brevis,Choc� Toucan,null,1,B-Ch,null
578,UTPL_A0660,70,Ramphocaenus melanurus,Long-billed Gnatwren,null,0,null,null
579,UTPL_A0664,73,Rhodospingus cruentus,Crimson-breasted Finch,null,1,BT,MI
580,UTPL_A0665,62,Rhynchocyclus pacificus,Pacific Flatbill,null,0,B-Ch,null
581,UTPL_A0666,31,Rhynchortyx cinctus,Tawny-faced Quail,null,0,null,null
582,UTPL_A0667,75,Rhynchospiza stolzmanni,Tumbes Sparrow,Aimophila stolzmanni,1,BT,null
583,UTPL_A0668,62,Rhytipterna holerythra,Rufous Mourner,null,0,null,null
584,UTPL_A0669,68,Riparia riparia,Bank Swallow,null,0,null,MB - P
585,UTPL_A0670,37,Rostrhamus sociabilis,Snail Kite,null,1,null,null
586,UTPL_A0672,37,Rupornis magnirostris,Roadside Hawk,Bueteo magnirostris,1,null,null
587,UTPL_A0673,102,Rynchops niger,Black Skimmer,null,0,null,null
588,UTPL_A0674,74,Saltator atripennis,Black-winged Saltator,null,1,null,null
589,UTPL_A0675,76,Saltator aurantiirostris,Golden-billed Saltator,null,1,null,null
590,UTPL_A0677,74,Saltator grossus,Slate-colored Grosbeak,Pitillus grossus,1,null,null
591,UTPL_A0678,74,Saltator maximus,Buff-throated Saltator,null,1,null,null
592,UTPL_A0679,74,Saltator nigriceps,Black-cowled Saltator,null,1,S-SO,null
593,UTPL_A0680,74,Saltator striatipectus,Streaked Saltator,null,1,null,null
594,UTPL_A0681,35,Sarcoramphus papa,King Vulture,null,1,null,null
595,UTPL_A0682,82,Sarkidiornis melanotos,Comb Duck,null,1,null,null
596,UTPL_A0683,62,Sayornis nigricans,Black Phoebe,null,1,null,null
597,UTPL_A0684,65,Schiffornis turdina,Thrush-like Schiffornis,Schiffornis turdinus,1,null,null
598,UTPL_A0685,48,Schistes geoffroyi,Wedge-billed Hummingbird,null,1,null,null
599,UTPL_A0686,61,Sclerurus guatemalensis,Scaly-throated Leaftosser,null,0,null,null
600,UTPL_A0687,61,Sclerurus mexicanus,Tawny-throated Leaftosser,null,0,null,null
601,UTPL_A0688,81,Scytalopus latrans,Blackish Tapaculo,null,1,null,null
602,UTPL_A0691,81,Scytalopus robbinsi,Ecuadorian Tapaculo,null,0,S-SO,null
603,UTPL_A0692,81,Scytalopus unicolor,Unicolored Tapaculo,null,1,null,null
604,UTPL_A0694,62,Serpophaga cinerea,Torrent Tyrannulet,null,1,null,null
605,UTPL_A0695,77,Setophaga castanea,Bay-breasted Warbler,null,0,null,MB - D
606,UTPL_A0696,77,Setophaga fusca,Blackburnian Warbler,Dendroica fusca,0,null,MB
607,UTPL_A0697,77,Setophaga petechia,Yellow Warbler,null,0,null,MB
608,UTPL_A0698,77,Setophaga pitiayumi,Tropical Parula,Parula pitiayumi,0,null,null
609,UTPL_A0699,77,Setophaga ruticilla,American Redstart,null,0,null,MB
610,UTPL_A0700,73,Sicalis flaveola,Saffron Finch,null,1,null,null
611,UTPL_A0701,73,Sicalis luteola,Grassland Yellow-Finch,null,1,null,null
612,UTPL_A0702,73,Sicalis taczanowskii,Sulphur-throated Finch,null,1,BT,null
613,UTPL_A0703,62,Sirystes albogriseus,Choco Sirystes,null,0,null,null
614,UTPL_A0704,61,Sittasomus griseicapillus,Olivaceous Woodcreeper,null,1,null,null
615,UTPL_A0706,37,Spizaetus ornatus,Ornate Hawk-Eagle,null,3,null,null
616,UTPL_A0707,37,Spizaetus tyrannus,Black Hawk-Eagle,null,1,null,null
617,UTPL_A0708,79,Sporagra magellanica,Hooded Siskin,Carduelis magellanica,1,null,null
618,UTPL_A0709,79,Sporagra siemiradzkii,Saffron Siskin,Carduelis siemiradzkii,2,BT,null
619,UTPL_A0710,79,Sporagra xanthrogastra,Yellow-bellied Siskin,null,0,null,null
620,UTPL_A0711,73,Sporophila angolensis,Lesser Seed-Finch,null,0,null,null
621,UTPL_A0712,73,Sporophila bouvronides,Lesson�s Seedeater,null,0,null,MI
622,UTPL_A0713,73,Sporophila corvina,Variable Seedeater,null,1,null,null
623,UTPL_A0714,73,Sporophila luctuosa,Black-and-white Seedeater,null,1,null,MI
624,UTPL_A0715,73,Sporophila nigricollis,Yellow-bellied Seedeater,null,1,null,null
625,UTPL_A0716,73,Sporophila peruviana,Parrot-billed Seedeater,null,1,BT,null
626,UTPL_A0717,73,Sporophila simplex,Drab Seedeater,null,0,S-SO,null
627,UTPL_A0718,73,Sporophila telasco,Chestnut-throated Seedeater,null,0,null,null
628,UTPL_A0719,44,Steatornis caripensis,Oilbird,null,1,null,null
629,UTPL_A0720,68,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,null,1,null,null
630,UTPL_A0723,92,Sterna hirundinacea,South American Tern,null,0,null,DP - D
631,UTPL_A0724,92,Sterna hirundo,Common Tern,null,0,null,MB
632,UTPL_A0725,92,Sterna paradisaea,Arctic Tern,null,0,null,MB - P
633,UTPL_A0726,92,Sternula lorata,Peruvian Tern,null,0,null,DP
634,UTPL_A0727,47,Streptoprocne rutila,Chestnut-collared Swift,null,1,null,null
635,UTPL_A0728,47,Streptoprocne zonaris,White-collared Swift,null,1,null,null
636,UTPL_A0729,78,Sturnella bellicosa,Peruvian Meadowlark,null,1,null,null
637,UTPL_A0730,97,Sula granti,Nazca Booby,null,0,null,null
638,UTPL_A0731,97,Sula leucogaster,Brown Booby,null,0,null,VP - N D
639,UTPL_A0732,97,Sula nebouxii,Blue-footed Booby,null,0,null,null
640,UTPL_A0733,97,Sula sula,Red-footed Booby,null,0,null,null
641,UTPL_A0734,97,Sula variegata,Peruvian Booby,null,0,null,DP
642,UTPL_A0735,61,Synallaxis azarae,Azara�s Spinetail,null,1,null,null
643,UTPL_A0736,61,Synallaxis brachyura,Slaty Spinetail,null,1,null,null
644,UTPL_A0737,61,Synallaxis stictothorax,Necklaced Spinetail,null,0,BT,null
645,UTPL_A0738,61,Synallaxis tithys,Blackish-headed Spinetail,null,4,BT,null
646,UTPL_A0739,61,Synallaxis zimmeri,Russet-bellied Spinetail,null,0,null,null
647,UTPL_A0740,61,Syndactyla ruficollis,Rufous-necked Foliage-gleaner,null,2,S-SO,null
648,UTPL_A0741,61,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,null,1,null,null
649,UTPL_A0742,61,Syndactyla subalaris,Lineated Foliage-gleaner,null,1,null,null
650,UTPL_A0743,46,Systellura longirostris,Band-winged Nightjar,Caprimulgus longirostris,1,null,null
651,UTPL_A0744,86,Tachybaptus dominicus,Least Grebe,null,1,null,null
652,UTPL_A0745,68,Tachycineta stolzmanni,Tumbes Swallow,null,0,BT,null
653,UTPL_A0746,73,Tachyphonus delatrii,Tawny-crested Tanager,null,0,null,null
654,UTPL_A0747,73,Tachyphonus luctuosus,White-shouldered Tanager,null,1,null,null
655,UTPL_A0748,73,Tachyphonus rufus,White-lined Tanager,null,1,null,null
656,UTPL_A0749,73,Tangara arthus,Golden Tanager,null,1,null,null
657,UTPL_A0751,73,Tangara cyanicollis,Blue-necked Tanager,null,1,null,null
658,UTPL_A0752,73,Tangara florida,Emerald Tanager,null,0,null,null
659,UTPL_A0753,73,Tangara gyrola,Bay-headed Tanager,null,1,null,null
660,UTPL_A0754,73,Tangara icterocephala,Silvery-throated Tanager,null,1,null,null
661,UTPL_A0755,73,Tangara johannae,Blue-whiskered Tanager,null,0,B-Ch,null
662,UTPL_A0756,73,Tangara larvata,Golden-hooded Tanager,null,0,null,null
663,UTPL_A0757,73,Tangara nigroviridis,Beryl-spangled Tanager,null,1,null,null
664,UTPL_A0758,73,Tangara palmeri,Gray-and-gold Tanager,null,0,LOcA,null
665,UTPL_A0759,73,Tangara parzudakii,Flame-faced Tanager,null,1,null,null
666,UTPL_A0760,73,Tangara ruficervix,Golden-naped Tanager,null,1,null,null
667,UTPL_A0761,73,Tangara rufigula,Rufous-throated Tanager,null,1,LOcA,null
668,UTPL_A0762,73,Tangara vassorii,Blue-and-black Tanager,null,1,null,null
669,UTPL_A0763,73,Tangara viridicollis,Silvery Tanager,null,1,null,null
670,UTPL_A0765,42,Tapera naevia,Striped Cuckoo,null,1,null,null
671,UTPL_A0766,57,Taraba major,Great Antshrike,null,1,null,null
672,UTPL_A0767,62,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,null,0,null,null
673,UTPL_A0768,73,Tersina viridis,Swallow Tanager,null,1,null,null
674,UTPL_A0769,92,Thalasseus  sandvicensis,Sandwich Tern,null,0,null,MB
675,UTPL_A0770,92,Thalasseus elegans,Elegant Tern,null,0,null,MB - D
676,UTPL_A0771,92,Thalasseus maximus,Royal Tern,null,0,null,null
677,UTPL_A0772,48,Thalurania colombica,Green-crowned Woodnymph,Thalurania fannyi,1,BT,null
678,UTPL_A0773,59,Grallaria andicolus,Stripe-headed Antpitta,null,1,null,null
679,UTPL_A0774,57,Thamnistes anabatinus,Russet Antshrike,null,1,null,null
680,UTPL_A0775,57,Thamnophilus atrinucha,Black-crowned Antshrike,null,1,null,null
681,UTPL_A0776,57,Thamnophilus bernardi,Collared Antshrike,Sakesporus bernardi,0,BT,null
682,UTPL_A0778,57,Thamnophilus unicolor,Uniform Antshrike,null,1,null,null
683,UTPL_A0779,57,Thamnophilus zarumae,'Chapman''s Antshrike',null,1,S-SO,null
684,UTPL_A0780,48,Thaumastura cora,Peruvian Sheartail,null,0,null,Errs
685,UTPL_A0782,101,Thinocorus rumicivorus,Least Seedsnipe,null,0,null,null
686,UTPL_A0784,73,Thlypopsis ornata,Rufous-chested Tanager,null,1,null,null
687,UTPL_A0785,73,Thraupis cyanocephala,Blue-capped Tanager,null,1,null,null
688,UTPL_A0786,73,Thraupis episcopus,Blue-gray Tanager,null,1,null,null
689,UTPL_A0787,73,Thraupis palmarum,Palm Tanager,null,1,null,null
690,UTPL_A0788,48,Threnetes ruckeri,Band-tailed Barbthroat,null,1,null,null
691,UTPL_A0790,61,Thripadectes ignobilis,Uniform Treehunter,null,1,LOcA,null
692,UTPL_A0792,73,Tiaris obscurus,Dull-colored Grassquit,null,1,null,null
693,UTPL_A0793,34,Tigrisoma fasciatum,Fasciated Tiger-Heron,null,1,null,null
694,UTPL_A0794,34,Tigrisoma lineatum,Rufescent Tiger-Heron,null,0,null,null
695,UTPL_A0795,29,Tinamus major,Great Tinamou,null,0,null,null
696,UTPL_A0796,65,Tityra inquisitor,Black-crowned Tityra,null,0,null,null
697,UTPL_A0797,65,Tityra semifasciata,Masked Tityra,null,1,null,null
698,UTPL_A0798,62,Todirostrum cinereum,Common Tody-Flycatcher,null,1,null,null
699,UTPL_A0799,62,Todirostrum nigriceps,Black-headed Tody-Flycatcher,null,1,null,null
700,UTPL_A0800,62,Tolmomyias sulphurescens,Yellow-olive Flycatcher,null,1,null,null
701,UTPL_A0801,56,Touit dilectissimus,Blue-fronted Parrotlet,null,1,null,null
702,UTPL_A0802,40,Tringa flavipes,Lesser Yellowlegs,null,1,null,MB
703,UTPL_A0803,40,Tringa incana,Wandering Tattler,Heteroscelus incanus,0,null,MB
704,UTPL_A0804,40,Tringa melanoleuca,Greater Yellowlegs,null,0,null,MB
705,UTPL_A0805,40,Tringa semipalmata,Willet,null,0,null,MB
706,UTPL_A0806,40,Tringa solitaria,Solitary Sandpiper,null,1,null,MB
707,UTPL_A0807,69,Troglodytes aedon,House-Wren,null,1,null,null
708,UTPL_A0808,69,Troglodytes solstitialis,Mountain Wren,null,1,null,null
709,UTPL_A0809,49,Trogon caligatus,Gartered Trogon,null,1,null,null
710,UTPL_A0810,49,Trogon collaris,Collared Trogon,null,1,null,null
711,UTPL_A0811,49,Trogon comptus,Choc� Trogon / Blue tailed trogon,null,0,B-Ch,null
712,UTPL_A0812,49,Trogon melanurus,Black-tailed Trogon,null,1,null,null
713,UTPL_A0813,49,Trogon mesurus,Ecuadorian Trogon,null,1,BT,null
714,UTPL_A0814,49,Trogon personatus,Masked Trogon,null,1,null,null
715,UTPL_A0815,49,Trogon rufus,Black-throated Trogon,null,0,null,null
716,UTPL_A0816,49,Trogon violaceus,Amazonian Violaceous Trogon,null,0,null,null
717,UTPL_A0817,49,Trogon viridis,Amazonian White-tailed Trogon,null,0,null,null
718,UTPL_A0818,62,Tumbezia salvini,Tumbes Tyrant,null,3,null,null
719,UTPL_A0819,72,Turdus albicollis,White-necked Thrush,null,0,null,null
720,UTPL_A0820,72,Turdus chiguanco,Chiguanco Thrush,null,1,null,null
721,UTPL_A0821,72,Turdus fuscater,Great Thrush,null,1,null,null
722,UTPL_A0823,72,Turdus maculirostris,Ecuadorian Thrush,null,1,BT,null
723,UTPL_A0824,72,Turdus nigriceps,Slaty Thrush,null,1,null,MA - C / MI
724,UTPL_A0825,72,Turdus obsoletus,Pale-vented Thrush,null,1,null,null
725,UTPL_A0826,72,Turdus reevei,Plumbeous-backed Thrush,null,1,BT,null
726,UTPL_A0827,72,Turdus serranus,Glossy-black Thrush,null,1,null,null
727,UTPL_A0828,62,Tyrannulus elatus,Yellow-crowned Tyrannulet,null,0,null,null
728,UTPL_A0829,62,Tyrannus melancholicus,Tropical Kingbird,null,1,null,MA ? C
729,UTPL_A0830,62,Tyrannus niveigularis,Snowy-throated Kingbird,null,1,BT,MI
730,UTPL_A0831,80,Tyto alba,Barn Owl,null,1,null,null
731,UTPL_A0832,46,Uropsalis segmentata,Swallow-tailed Nightjar,null,1,null,null
732,UTPL_A0833,48,Urosticte benjamini,Purple-bibbed Whitetip,null,1,LOcA,null
733,UTPL_A0835,54,Veniliornis callonotus,Scarlet-backed Woodpecker,null,1,BT,null
734,UTPL_A0836,54,Veniliornis kirkii,Red-rumped Woodpecker,null,1,null,null
735,UTPL_A0837,66,Vireo leucophrys,Brown-capped Vireo,null,1,null,null
736,UTPL_A0838,66,Vireo olivaceus,Red-eyed Vireo,null,1,null,MB - C / MA - C
737,UTPL_A0839,66,Vireolanius leucotis,Slaty-capped Shrike-Vireo,null,0,null,null
738,UTPL_A0840,73,Volatinia jacarina,Blue-black Grassquit,null,1,null,null
739,UTPL_A0843,61,Xenops minutus,Plain Xenops,null,0,null,null
740,UTPL_A0844,61,Xenops rutilans,Streaked Xenops,null,1,null,null
741,UTPL_A0846,61,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,null,1,null,null
742,UTPL_A0847,61,Xiphorhynchus erythropygius,Spotted Woodcreeper,null,1,null,null
743,UTPL_A0848,61,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,null,0,null,null
744,UTPL_A0850,41,Zenaida auriculata,Eared Dove,null,1,null,null
745,UTPL_A0851,41,Zenaida meloda,West Peruvian Dove,null,1,null,null
746,UTPL_A0852,62,Zimmerius chrysops,Golden-faced Tyrannulet,null,1,null,null
747,UTPL_A0853,62,Zimmerius flavidifrons,Loja Tyrannulet,null,0,null,null
748,UTPL_A0854,62,Zimmerius viridiflavus,Peruvian Tyrannulet,null,0,null,null
749,UTPL_A0855,75,Zonotrichia capensis,Rufous-collared Sparrow,null,1,null,null
750,UTPL_A0856,40,Calidris alba,Sanderling,null,0,null,MB
751,UTPL_A0857,81,Acropternis orthonyx,Ocellated Tapaculo,null,1,null,null
752,UTPL_A0859,62,Agriornis montanus,Black-billed Shrike-Tyrant,null,1,null,null
753,UTPL_A0860,56,Amazona mercenarius,Scaly-naped Parrot,null,1,null,null
754,UTPL_A0861,62,Anairetes flavirostris,Yellow-billed Tit-Tyrant,null,1,null,null
755,UTPL_A0862,110,Anhima cornuta,Horned Screamer,null,0,null,null
756,UTPL_A0863,108,Anhinga anhinga,Anhinga,null,0,null,null
757,UTPL_A0864,73,Anisognathus somptuosus,Blue-winged Mountain-Tanager,null,1,null,null
758,UTPL_A0865,73,Anisognathus lacrymosus,Lacrimose Mountain-Tanager,null,1,null,null
759,UTPL_A0867,106,Anthus lutescens ,Yellowish Pipit,null,1,null,null
760,UTPL_A0869,56,Bolborhynchus orbygnesius,Andean Parakeet,null,1,null,null
761,UTPL_A0870,78,Cacicus chrysonotus,Mountain Cacique,null,1,null,null
762,UTPL_A0871,40,Calidris alpina,Dunlin,null,0,null,MB - D
763,UTPL_A0872,48,Metallura phoebe,Black Metaltail,null,1,null,null
764,UTPL_A0873,73,Chlorospingus flavopectus,Common Chlorospingus,null,0,null,null
765,UTPL_A0874,73,Cnemoscopus rubrirostris,Gray-hooded Bush Tanager,null,1,null,null
766,UTPL_A0875,42,Coccyzus americanus,Yellow-billed cuckoo,null,0,null,MB - P
767,UTPL_A0876,48,Coeligena wilsoni,Brown Inca,null,1,null,null
768,UTPL_A0877,54,Colaptes atricollis,Black-necked Woodpecker,null,1,null,null
769,UTPL_A0878,54,Colaptes rivolii,Crimson-mantled Woodpecker,null,1,null,null
770,UTPL_A0879,73,Conirostrum albifrons,Capped Conebill,null,1,null,null
771,UTPL_A0880,92,Creagrus furcatus,Swallow-tailed Gull,null,0,null,VP
772,UTPL_A0881,82,Dendrocygna bicolor,Fulvous Whistling-Duck,null,0,null,null
773,UTPL_A0883,73,Dubusia taeniata,Buff-breasted Mountain-Tanager,null,1,null,null
774,UTPL_A0884,86,Rollandia rolland,White-tufted Grebe,null,1,null,null
775,UTPL_A0885,107,Pelecanoides garnotii,Peruvian Diving-Petrel,null,4,null,null
776,UTPL_A0886,37,Spizaetus isidori ,Black-and-chestnut Eagle,null,4,null,null
777,UTPL_A0887,37,Elanus leucurus,White-tailed Kite,null,0,null,null
778,UTPL_A0888,38,Laterallus exilis,Gray-breasted Crake,null,1,null,null
779,UTPL_A0891,85,Vanellus cayanus,Pied Lapwing,null,1,null,null
780,UTPL_A0892,40,Limosa fedoa,Marbled Godwit,null,1,null,MB - D
781,UTPL_A0893,92,Onychoprion anaethetus,Bridled Tern,null,1,null,null
782,UTPL_A0894,41,Leptotila rufaxilla,Gray-fronted Dove,null,0,null,null
783,UTPL_A0895,42,Coccyzus melacoryphus,Dark-billed Cuckoo,null,0,null,MA - C
784,UTPL_A0896,48,Lesbia victoriae,Black-tailed Trainbearer,null,1,null,null
785,UTPL_A0897,48,Colibri thalassinus,Green Violetear,null,1,null,null
786,UTPL_A0898,48,Rhodopis vesper,Oasis Hummingbird,null,1,null,null
787,UTPL_A0899,48,Leucippus taczanowskii,Spot-throated Hummingbird,null,1,null,null
788,UTPL_A0900,48,Metallura williami,Viridian Metaltail,null,1,null,null
789,UTPL_A0901,48,Heliodoxa imperatrix,Empress Brilliant,null,1,null,null
790,UTPL_A0902,49,Trogon chionurus,White-tailed Trogon,null,1,null,null
791,UTPL_A0903,52,Notharchus hyperrhynchus,White-necked Puffbird,null,0,null,null
792,UTPL_A0905,54,Veniliornis nigriceps ,Bar-bellied Woodpecker,null,1,null,null
793,UTPL_A0906,111,Semnornis ramphastinus,Toucan Barbet,null,3,null,null
794,UTPL_A0907,55,Phalcoboenus carunculatus,Carunculated Caracara,null,1,null,null
795,UTPL_A0908,57,Gymnopithys leucaspis,White-cheeked Antbird,null,1,null,null
796,UTPL_A0909,57,Myrmeciza zeledoni,'Zeledon''s Antbird',null,0,null,null
797,UTPL_A0910,57,Myrmotherula pacifica,Pacific Antwren,null,1,null,null
798,UTPL_A0911,81,Myornis senilis ,Ash-colored Tapaculo,null,1,null,null
799,UTPL_A0912,81,Scytalopus parkeri,Chusquea Tapaculo,null,1,LOrA,null
800,UTPL_A0913,59,Grallaricula flavirostris,Ochre-breasted Antpitta,null,3,null,null
801,UTPL_A0914,61,Pseudocolaptes lawrencii,Buffy Tuftedcheek,null,1,null,null
802,UTPL_A0915,61,Cinclodes albidiventris,Chestnut-winged Cinclodes,null,1,null,null
803,UTPL_A0916,61,Furnarius torridus,Pale-billed Hornero,null,1,null,null
804,UTPL_A0917,61,Synallaxis unirufa,Rufous Spinetail,null,1,null,null
805,UTPL_A0918,61,Phleocryptes melanops ,Wren-like Rushbird,null,1,null,null
806,UTPL_A0919,62,Zimmerius albigularis,Choco Tyrannulet,null,1,null,null
807,UTPL_A0920,62,Tyrannus tyrannus,Eastern Kingbird,null,0,null,MB - P
808,UTPL_A0921,62,Tachuris rubrigastra,Many-colored Rush Tyrant,null,1,null,null
809,UTPL_A0922,62,Nephelomyias lintoni,Orange-banded Flycatcher,null,3,null,null
810,UTPL_A0923,62,Onychorhynchus coronatus,Royal Flycatcher,null,1,null,null
811,UTPL_A0925,62,Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,null,1,null,null
812,UTPL_A0926,62,Muscisaxicola maculirostris,Spot-billed Ground-Tyrant,null,1,null,MA - D
813,UTPL_A0927,62,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,null,1,null,null
814,UTPL_A0928,62,Knipolegus aterrimus,White-winged Black-Tyrant,null,1,null,null
815,UTPL_A0929,62,Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant,null,1,null,null
816,UTPL_A0930,65,Pachyramphus versicolor,Barred Becard,null,1,null,null
817,UTPL_A0931,65,Schiffornis veraepacis ,Northern Schiffornis,null,0,null,null
818,UTPL_A0932,65,Pachyramphus aglaiae,Rose-throated Becard,null,0,null,null
819,UTPL_A0933,72,Turdus maranonicus,Mara�on Thrush,null,1,null,null
820,UTPL_A0935,73,Hemispingus atropileus,Black-capped Hemispingus,null,1,null,null
821,UTPL_A0937,73,Ramphocelus flammigerus,Lemon-rumped Tanager,null,1,null,null
822,UTPL_A0940,75,Sporophila americana,Wing-barred Seedeater,null,0,null,null
823,UTPL_A0942,78,Sturnella militaris,Red-breasted Meadowlark,null,0,null,null
824,UTPL_A0944,75,Sporophila crassirostris,Large-billed Seed-Finch,null,0,null,null
825,UTPL_A0946,75,Phrygilus fruticeti,Mourning Sierra-Finch,null,1,null,null
826,UTPL_A0947,75,Phrygilus punensis,Peruvian Sierra-Finch,null,1,null,null
827,UTPL_A0948,79,Spinus magellanicus,Hooded Siskin,null,0,null,null
828,UTPL_A0950,75,Sporophila funerea,Thick-billed Seed-Finch,null,0,null,null
829,UTPL_A0951,77,Myiothlypis luteoviridis,Citrine Warbler,null,0,null,null
830,UTPL_A0952,77,Geothlypis auricularis,null,null,0,null,null
