id,Codigo Especie,Familia,especie,nombre,sinonimo,uicn,endemismo,migracion
11749,UTPL_A0455,62,Myiarchus tuberculifer,Dusky-capped Flycatcher,null,1,null,null
11750,UTPL_A0025,63,Ampelion rubrocristatus,Red-crested Cotinga,null,1,null,null
11751,UTPL_A0584,62,Phyllomyias uropygialis,Tawny-rumped Tyrannulet,null,1,null,null
11752,UTPL_A0430,48,Metallura tyrianthina,Tyrian Metaltail,null,1,null,null
11753,UTPL_A0855,75,Zonotrichia capensis,Rufous-collared Sparrow,null,1,null,null
11754,UTPL_A0472,77,Myiothlypis coronata,Russet-crowned Warbler,null,null,null,null
11755,UTPL_A0261,62,Elaenia albiceps,White-crested Elaenia,null,1,null,null
11756,UTPL_A0036,73,Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,null,1,null,null
11757,UTPL_A0415,62,Mecocerculus leucophrys,White-throated Tyrannulet,null,1,null,null
11758,UTPL_A0009,48,Aglaeactis cupripennis,Shining Sunbeam,null,1,null,null
11759,UTPL_A0249,73,Diglossa lafresnayii,Glossy Flowerpiercer,null,1,null,null
11760,UTPL_A0270,48,Eriocnemis vestita,Glowing Puffleg,Eriocnemis vestitus,1,null,null
11761,UTPL_A0821,72,Turdus fuscater,Great Thrush,null,1,null,null
11762,UTPL_A0865,73,Anisognathus lacrymosus,Lacrimose Mountain-Tanager,null,1,null,null
11763,UTPL_A0579,73,Phrygilus unicolor,Plumbeous Sierra-Finch,null,1,null,null
11764,UTPL_A0395,48,Lesbia nuna,Green-tailed Trainbearer,null,1,null,null
11765,UTPL_A0059,61,Asthenes flammulata,Many-striped Canastero,null,1,null,null
11766,UTPL_A0068,75,Atlapetes pallidinucha,Pale-naped Brush-Finch,null,1,null,null
11767,UTPL_A0060,61,Asthenes griseomurina,Mouse-colored Thistletail,Schizoeaca griseomurina ,1,LVI,null
11768,UTPL_A0808,69,Troglodytes solstitialis,Mountain Wren,null,1,null,null
11769,UTPL_A0198,41,Columbina cruziana,Croaking Ground-Dove,null,1,null,null
11770,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11771,UTPL_A0460,62,Myiodynastes bairdii,Baird’s Flycatcher,null,1,BT,null
11772,UTPL_A0311,37,Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,null,1,null,null
11773,UTPL_A0813,49,Trogon mesurus,Ecuadorian Trogon,null,1,BT,null
11774,UTPL_A0840,73,Volatinia jacarina,Blue-black Grassquit,null,1,null,null
11775,UTPL_A0051,75,Arremon abeillei,Black-capped Sparrow,null,1,BT - RM,null
11776,UTPL_A0683,62,Sayornis nigricans,Black Phoebe,null,1,null,null
11777,UTPL_A0210,35,Coragyps atratus,Black Vulture,null,1,null,null
11778,UTPL_A0786,73,Thraupis episcopus,Blue-gray Tanager,null,1,null,null
11779,UTPL_A0776,57,Thamnophilus bernardi,Collared Antshrike,Sakesporus bernardi,null,BT,null
11780,UTPL_A0807,69,Troglodytes aedon,House Wren,null,1,null,null
11781,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11782,UTPL_A0223,29,Crypturellus transfasciatus,Pale-browed Tinamou,null,3,BT,null
11783,UTPL_A0292,56,Forpus coelestis,Pacific Parrotlet,null,1,BT,null
11784,UTPL_A0252,78,Dives warszewiczi,Scrub Blackbird,null,1,null,null
11785,UTPL_A0443,78,Molothrus bonariensis,Shiny Cowbird,null,1,null,null
11786,UTPL_A0453,62,Myiarchus phaeocephalus,Sooty-crowned Flycatcher,null,1,BT - RM,null
11787,UTPL_A0635,62,Pseudelaenia leucospodia,Gray-and-white Tyrannulet,null,1,BT,null
11788,UTPL_A0385,61,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,null,1,null,null
11789,UTPL_A0568,76,Pheucticus chrysogaster,Golden-bellied Grosbeak,null,1,null,null
11790,UTPL_A0191,54,Colaptes rubiginosus,Golden-olive Woodpecker,Piculus rubiginosus,1,null,null
11791,UTPL_A0217,42,Crotophaga sulcirostris,Groove-billed Ani,null,1,null,null
11792,UTPL_A0296,61,Furnarius leucopus,Pale-legged Hornero,null,1,null,null
11793,UTPL_A0591,54,Picumnus sclateri,Ecuadorian Piculet,null,1,BT,null
11794,UTPL_A0618,70,Polioptila plumbea,Tropical Gnatcatcher,null,1,null,null
11795,UTPL_A0729,78,Sturnella bellicosa,Peruvian Meadowlark,null,1,null,null
11796,UTPL_A0652,62,Pyrocephalus rubinus,Vermilion Flycatcher,null,1,null,MA - C
11797,UTPL_A0427,58,Melanopareia elegans,Elegant Crescentchest,null,1,BT,null
11798,UTPL_A0829,62,Tyrannus melancholicus,Tropical Kingbird,null,1,null,MA ? C
11799,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
11800,UTPL_A0122,69,Campylorhynchus fasciatus,Fasciated Wren,Campylorhynchus fasciatus,1,BT,null
11801,UTPL_A0454,62,Myiarchus semirufus,Rufous Flycatcher,null,4,null,null
11802,UTPL_A0364,78,Icterus graceannae,White-edged Oriole,null,1,BT,null
11803,UTPL_A0667,75,Rhynchospiza stolzmanni,Tumbes Sparrow,Aimophila stolzmanni,1,BT,null
11804,UTPL_A0698,77,Setophaga pitiayumi,Tropical Parula,null,null,null,null
11805,UTPL_A0134,35,Cathartes aura,Turkey Vulture,null,1,null,MB - C 
11806,UTPL_A0394,41,Leptotila verreauxi,White-tipped Dove,null,1,null,null
11807,UTPL_A0227,67,Cyanocorax mystacalis,White-tailed Jay,null,1,BT,null
11808,UTPL_A0765,42,Tapera naevia,Striped Cuckoo,null,1,null,null
11809,UTPL_A0125,69,Cantorchilus superciliaris,Superciliated Wren,Tryothorus superciliaris,null,BT,null
11810,UTPL_A0281,62,Euscarthmus meloryphus,Tawny-crowned Pygmy-Tyrant,null,1,null,null
11811,UTPL_A0153,85,Charadrius nivosus,Snowy Plover,null,3,null,null
11812,UTPL_A0153,85,Charadrius nivosus,Snowy Plover,null,3,null,null
11813,UTPL_A0152,85,Charadrius collaris,Collared Plover,null,1,null,null
11814,UTPL_A0807,69,Troglodytes aedon,House Wren,null,1,null,null
11815,UTPL_A0530,37,Parabuteo unicinctus,Harris’ Hawk,null,1,null,null
11816,UTPL_A0351,55,Herpetotheres cachinnans,Laughing Falcon,null,1,null,null
11817,UTPL_A0016,48,Amazilia amazilia,Amazilia Hummingbird,null,1,null,null
11818,UTPL_A0287,55,Falco sparverius,American Kestrel,null,1,null,null
11819,UTPL_A0460,62,Myiodynastes bairdii,Baird’s Flycatcher,null,1,BT,null
11820,UTPL_A0190,73,Coereba flaveola,Bananaquit,null,1,null,null
11821,UTPL_A0311,37,Geranoaetus melanoleucus,Black-chested Buzzard-Eagle,null,1,null,null
11822,UTPL_A0341,48,Heliomaster longirostris,Long-billed Starthroat,null,1,null,null
11823,UTPL_A0437,84,Mimus longicaudatus,Long-tailed Mockingbird,null,1,null,null
11824,UTPL_A0704,61,Sittasomus griseicapillus,Olivaceous Woodcreeper,null,1,null,null
11825,UTPL_A0223,29,Crypturellus transfasciatus,Pale-browed Tinamou,null,3,BT,null
11826,UTPL_A0464,62,Myiopagis subplacens,Pacific Elaenia,null,1,BT,null
11827,UTPL_A0292,56,Forpus coelestis,Pacific Parrotlet,null,1,BT,null
11828,UTPL_A0813,49,Trogon mesurus,Ecuadorian Trogon,null,1,BT,null
11829,UTPL_A0051,75,Arremon abeillei,Black-capped Sparrow,null,1,BT - RM,null
11830,UTPL_A0210,35,Coragyps atratus,Black Vulture,null,1,null,null
11831,UTPL_A0446,51,Momotus subrufescens,Whooping Motmot,null,1,null,null
11832,UTPL_A0296,61,Furnarius leucopus,Pale-legged Hornero,null,1,null,null
11833,UTPL_A0786,73,Thraupis episcopus,Blue-gray Tanager,null,1,null,null
11834,UTPL_A0317,43,Glaucidium peruanum,Peruvian Pygmy-Owl,null,1,BT,null
11835,UTPL_A0776,57,Thamnophilus bernardi,Collared Antshrike,Sakesporus bernardi,null,BT,null
11836,UTPL_A0424,43,Megascops roboratus,Peruvian Screech-Owl,Otus roboratus,1,BT,null
11837,UTPL_A0798,62,Todirostrum cinereum,Common Tody-Flycatcher,null,1,null,null
11838,UTPL_A0826,72,Turdus reevei,Plumbeous-backed Thrush,null,1,BT,null
11839,UTPL_A0198,41,Columbina cruziana,Croaking Ground-Dove,null,1,null,null
11840,UTPL_A0640,56,Psittacara erythrogenys,Red-masked Parakeet,null,3,BT,null
11841,UTPL_A0427,58,Melanopareia elegans,Elegant Crescentchest,null,1,BT,null
11842,UTPL_A0230,66,Cyclarhis gujanensis,Rufous-browed Peppershrike,null,1,null,null
11843,UTPL_A0122,69,Campylorhynchus fasciatus,Fasciated Wren,Campylorhynchus fasciatus,1,BT,null
11844,UTPL_A0835,54,Veniliornis callonotus,Scarlet-backed Woodpecker,null,1,BT,null
11845,UTPL_A0473,77,Myiothlypis fraseri,Gray-and-gold Warbler,Brasileuterus fraseri,null,BT,null
11846,UTPL_A0119,62,Camptostoma obsoletum,Southern Beardless-Tyrannulet,null,1,null,null
11847,UTPL_A0568,76,Pheucticus chrysogaster,Golden-bellied Grosbeak,null,1,null,null
11848,UTPL_A0385,61,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,null,1,null,null
